_id,link,license,language,licenseConflicts
6467b3e013df3d68492c59e4,https://github.com/microsoft/Microsoft.Diagnostics.Tracing.Logging,MIT License,C#,20
6467bbd113df3d68492c5a06,https://github.com/microsoft/XamlBehaviors,MIT License,C#,4
6467b37d13df3d68492c59da,https://github.com/microsoft/Vipr,MIT License,C#,12
6467bb8c13df3d68492c5a00,https://github.com/google/transitfeed,Apache License 2.0,Python,476
6467ac9c13df3d68492c59b2,https://github.com/facebook/metro,MIT License,JavaScript,9
6467b27f13df3d68492c59c4,https://github.com/google/grafika,Apache License 2.0,Java,3
6467b31813df3d68492c59d0,https://github.com/facebook/buck2-prelude,Apache License 2.0,Starlark,1
6467bd8e13df3d68492c5a14,https://github.com/microsoft/clrmd,MIT License,C#,6
6467b43213df3d68492c59e8,https://github.com/microsoft/UVAtlas,MIT License,C++,4
6467a50713df3d68492c5990,https://github.com/google/truth,Apache License 2.0,Java,46
6467b3d613df3d68492c59e2,https://github.com/google/fruit,Apache License 2.0,C++,2
6467b45d13df3d68492c59ee,https://github.com/microsoft/vsts-extension-samples,MIT License,TypeScript,6
6467bd7213df3d68492c5a10,https://github.com/google/nogotofail,Apache License 2.0,Python,2
6467af8513df3d68492c59b8,https://github.com/facebook/fbt,MIT License,JavaScript,2
6467b40813df3d68492c59e6,https://github.com/microsoft/SCVMMLinuxGuestAgent,Apache License 2.0,C++,79
6467b3a113df3d68492c59dc,https://github.com/microsoft/DACExtensions,MIT License,C#,41
6467ba3b13df3d68492c59f2,https://github.com/microsoft/Windows-appsample-rssreader,MIT License,C#,6
6467abde13df3d68492c59b0,https://github.com/facebook/TextLayoutBuilder,Apache License 2.0,Java,23
6467b37413df3d68492c59d8,https://github.com/google/autofdo,Apache License 2.0,C++,6
6467b2b213df3d68492c59c8,https://github.com/facebook/sapp,MIT License,Python,16
6467ba7013df3d68492c59f4,https://github.com/microsoft/Telemetry-Client-for-Android,MIT License,Java,29
6467ba9d13df3d68492c59f6,https://github.com/google/libaddressinput,Apache License 2.0,C++,61
6467bbda13df3d68492c5a08,https://github.com/microsoft/ETW2JSON,MIT License,C#,3
6467b00e13df3d68492c59bc,https://github.com/facebook/TestSlide,MIT License,Python,291
6467a56613df3d68492c599a,https://github.com/google/ios-webkit-debug-proxy,"BSD 3-Clause ""New"" or ""Revised"" License",C,41
6467b36713df3d68492c59d6,https://github.com/facebook/ocamlrep,MIT License,Starlark,1
6467a54113df3d68492c5996,https://github.com/facebook/IT-CPE,Apache License 2.0,Ruby,5
