"_id","hash","project_id","version","license","method_name","file_location","function_code","repository_url","query_project","violation"
"14396d9f1a3dceec7022ed189b333a9a_355421852","14396d9f1a3dceec7022ed189b333a9a","355421852","1668922130000","GNU General Public License v2.0","OpsManage","static/xterm/xterm.js:3669","Code not available","https://github.com/welliamcao/OpsManage/blob/4e120d88f9a33d2422abdbe7761fde73a369c8ba/static/xterm/xterm.js#L3669","No","Undetermined"
"31933c0d83d487637fdbe6491697e175_3629592","31933c0d83d487637fdbe6491697e175","3629592","1630975455000","GPL-3.0","compare","./src/main/java/com/taobao/text/renderers/ThreadRenderer.java:127","Code not available","https://github.com/alibaba/text-ui/blob/main/src/main/java/com/taobao/text/renderers/ThreadRenderer.java#L127","Yes","NaN"
"31933c0d83d487637fdbe6491697e175_615962360","31933c0d83d487637fdbe6491697e175","615962360","1582217275000","NaN","crash","./shell/src/main/java/org/crsh/text/renderers/ThreadRenderer.java:117","Code not available","https://github.com/crashub/crash/blob/0be41acdebb125e6963d04864cbbfb3a4a6c7707/./shell/src/main/java/org/crsh/text/renderers/ThreadRenderer.java#L117","No","Undetermined"
"31933c0d83d487637fdbe6491697e175_3084233893","31933c0d83d487637fdbe6491697e175","3084233893","1692879199000","Apache License 2.0","arthas","core/src/main/java/com/taobao/arthas/core/command/monitor200/ThreadSampler.java:127","Code not available","https://github.com/alibaba/arthas/blob/c8de95cc9e4eecd3f7692ec6558c7d5afff0a0d8/core/src/main/java/com/taobao/arthas/core/command/monitor200/ThreadSampler.java#L127","No","Apache-2.0 incompatible with GPLv3"
"0ae63ce7c3fe0a6b2dfad929cd7dd900_522772739","0ae63ce7c3fe0a6b2dfad929cd7dd900","522772739","1567384848000","GNU Lesser General Public License v3.0","webterminal","static/plugins/xterm/xterm.js:2807","Code not available","https://github.com/jimmy201602/webterminal/blob/9e9a1813abf44dce94412a8c38931129ad56c4da/static/plugins/xterm/xterm.js#L2807","No","NaN"
"0ae63ce7c3fe0a6b2dfad929cd7dd900_3677293766","0ae63ce7c3fe0a6b2dfad929cd7dd900","3677293766","1567947824000","Other","Bastillion","src/main/webapp/_res/js/tty/xterm.js:2910","Code not available","https://github.com/bastillion-io/Bastillion/blob/507785bdb9472a204f18fbdb087e2072df1ce9c0/src/main/webapp/_res/js/tty/xterm.js#L2910","No","Undetermined"
"0ae63ce7c3fe0a6b2dfad929cd7dd900_3162370065","0ae63ce7c3fe0a6b2dfad929cd7dd900","3162370065","1570172596000","Apache License 2.0","hadoop","hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-nodemanager/src/main/resources/TERMINAL/xterm/dist/xterm.js:2600","Code not available","https://github.com/apache/hadoop/blob/8a83e16da081434e3e2d52fd545391d6bfb47952/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-nodemanager/src/main/resources/TERMINAL/xterm/dist/xterm.js#L2600","No","Apache-2.0 incompatible with LGPL-3.0"
"0ae63ce7c3fe0a6b2dfad929cd7dd900_1013753558","0ae63ce7c3fe0a6b2dfad929cd7dd900","1013753558","1579472799000","GNU General Public License v3.0","linuxdeploy","app/src/main/assets/web/js/xterm.js:2522","Code not available","https://github.com/meefik/linuxdeploy/blob/821cbeb08caf4ec5e8562cfc4930addec1300c97/app/src/main/assets/web/js/xterm.js#L2522","No","NaN"
"0ae63ce7c3fe0a6b2dfad929cd7dd900_2416460407","0ae63ce7c3fe0a6b2dfad929cd7dd900","2416460407","1584350789000","Apache License 2.0","webconsole","./static/scripts/libs/termjs/xterm.js:2809","Code not available","https://github.com/shibingli/webconsole/blob/90c7a48dc7b613290e867d491383429088cb5938/./static/scripts/libs/termjs/xterm.js#L2809","No","Apache-2.0 incompatible with LGPL-3.0"
"0ae63ce7c3fe0a6b2dfad929cd7dd900_807067527","0ae63ce7c3fe0a6b2dfad929cd7dd900","807067527","1608215375000","MIT License","OmniDB","OmniDB/OmniDB_app/static/OmniDB_app/js/xterm.js:3099","Code not available","https://github.com/OmniDB/OmniDB/blob/789291204fa7a3a09dd3cf28ccfbf7f0b2a90ca0/OmniDB/OmniDB_app/static/OmniDB_app/js/xterm.js#L3099","No","MIT incompatible with LGPL-3.0"
